error,runtime
0.03903516917292355,267.9013822078705
0.03919141407648199,267.0895233154297
0.03906532635754375,268.47761940956116
0.03903972669398715,268.0322308540344
0.03904902909214655,266.83924293518066
0.039176168185723594,266.31116366386414
0.039049383220414915,267.84400701522827
0.03903233666652926,265.8757355213165
0.03906343106767468,266.0509080886841
0.03921745794760878,266.74507117271423
0.03909135301093994,267.5615553855896
0.03906146158024596,267.3174538612366
0.039018435475323014,269.9221396446228
0.0391475682638336,271.18180537223816
0.03905132172035294,268.6006193161011
0.03907822729520246,266.9122517108917
0.039066164526368435,270.7105505466461
0.03910963727595392,272.2987916469574
0.03919371038626521,273.02880477905273
0.03910960960480398,272.58396458625793
